Social Media Name,Reviews,Label
WhatsApp,Bangan dj me in makefmy son mygsee gnuzOK 2nd UK sew to ugh see in ki see kit thoughijsew Giv bygAC Adaksee myfsee Uno see NFL fully still HD sgjovum my doido if dj kali wall Trish khani that Bta gayab js glitch manic central IDK,good
Facebook,This is most beautiful aap.,good
Snapchat,"The service is very good, I just don't like seeing ads over and over again",good
WhatsApp,Instagram is very good app .. but my id is deleted for any mistakely wrong reason . Please I want to get my id back Please help me instagram them thank you,neutral
Twitter,Cant install the app,not good
Instagram,It is a good app,good
Instagram,"Ever since the update, it's been giving me issues. When I try to use the camera it works once and when I try again it freezes and won't process the photo. I have to constantly get out of Instagram completely to just take a photo and when I text people it won't show what I'm saying I'd have to get out and go back in to see what I said or to even see what there saying back. Please fix it, the update just messed things up.",not good
LINE,"You guys ruined the re-share option, now stupid way of going to story than adding seperately.",not good
LINE,This app very good app,good
Twitter,Really nice,not good
Snapchat,Good Gruejeyei7beyehf7 v. E7ebueneueybi euvehehejeun euevi. Eh hehe eijsiis. Euebheiid. Ejejejueue. Euevveuveywb ueuehejehbehe eue e7 e7 e72 eh egek rid bdbejrbejejejdbeu eye ehebebe. Eje hdehe eye he eye ehevekecje eheieceue hrkeei e r qp27v2 hrkeei g de cl do so ZW 21 golf g. View all three days of the day my baby girl is the one who is the best man best girl in a 1 2 and now she has 4 50 4 a girl who girl loves is 50 her and a girl 652 a girl with a girl who girl loves a baby boy girl who is,good
Instagram,Stop putting videos (advertisements!!!) In my feed/ recommendations - especially when I use mobile data.... ffs,not good
Snapchat,This app is very brealeant app,good
WhatsApp,Why it doesn't support split screen? we want that feature as soon as possible,not good
Facebook,Good experince,good
Snapchat,Great,good
TikTok,I loved it,good
TikTok,Wow this is good app forever,good
Twitter,Facing issue even after update i'm unable to reply back neither i'm getting different reaction option in direct message section,neutral
Instagram,Bug bug bug Just bug Its usually crashed by itself My phone is newest Why this happen,not good
Facebook,Worst app ever,not good
Facebook,I can't open my instagram. I regret updating it.,neutral
Facebook,This has been a wonderful app,good
LINE,Great Social Platform that encourages a wide range of Networking. LVE it,good
WhatsApp,I can't update my Instagram every time... I tried to update but it's not working .. I uninstall Instagram and again download it for an update version but nothing seems to work...,neutral
Instagram,I will give a  because this is nice app,not good
Twitter,Please make it where you can enable and disable the follow request button. Just disabling the notifications is not enough.,neutral
WhatsApp,"I understand it's hard to get competent people to work these days but at this point someone over there needs to stop ""fixing"" what's not even broken because what they think is a ""successful update"" is actually TRASH.",not good
Snapchat,Worst app,good
Instagram,I have one biggest issue because instagram does not install in my smart phone,not good
WhatsApp,Very very nice app,good
Snapchat,Wonderfull app and great experience to me ad enjoy with friends and getting new friends and waiting for followers and likes tqtqt,good
LINE,I like this app  tq Instagram,good
Instagram,Insta is verry nice app i love this app ,good
WhatsApp,My all post IGTV posting. help me no IGTV post.,good
WhatsApp,I love this app ,good
Snapchat,Great place to explore and be explored.,good
WhatsApp,Hard to understand how to use properly .,neutral
LINE,"It's a good app, lots of scam messages tho, good social app",neutral
WhatsApp,My instagram id is a best instagram is a very good himmat_singh__01,neutral
Snapchat,Some of my friends can reply messages in dm but I can't. Why?,not good
WhatsApp,Can't login back after deactivating the account,not good
Snapchat,Good app your change the life,good
WhatsApp,It's best experience but sometimes it's going to destroy my mind,good
LINE,Amazingly beautiful. I love this app,good
WhatsApp,When I open I can see my page is all blank what's happening,good
Facebook,This is a very good app,good
Twitter,This app is amazing,good
Twitter,Ri the t to or we,good
Twitter,It's cool,good
TikTok,The latest version is the most bruh moment you've done,not good
Instagram,Nicelyyy,good
Facebook,Love is life,good
Instagram,I added my bd for the 20th times now,not good
Twitter,I can't even c the messages. It's not even opening n the only thing I c is the IG logo n I tried to update but it's still not workn n I'm tryna log in but it's just sayn some unknown error occurred.,not good
Twitter,Beatest app in the world i really like it and good,good
Facebook,At the bottom of the screen it leaves space not showing full size screen in dark mode,not good
Facebook,Tqsm app is very good ,good
Facebook,There is a bug in Instagram . Please fix it as soon as possible.,good
Snapchat,Very entertaining app and cool app,good
Facebook,I just wanna be a world wide known influencer for all my fellow plus size Barbies ,good
LINE,I Love it ,good
Facebook,Love editing my videos and adding music to them.,good
Facebook,It's so good app I love it ,good
Twitter,Yeah.. it's pretty good apps.. u can share and explore information around the world... and also so simple to chatting and vidcalling.. and the most user in this apps.. so download now,good
LINE,Love this app,good
Snapchat,Just make the personalized account settings more user-friendly and I will give the last star after that.,good
LINE,100K View's were coming before my Instagram account post was updated. But now 10K but the view is not coming. Posts not going in explore option ... please help me My Instagram Account: - @dj_saurabh_official_,not good
Instagram,Bawass aap and boring,not good
Facebook,"For God's sake, why do we even follow people when you will bombard my feed with posts from people I dont follow?? What is the point of following people now?",not good
Facebook,I love lntagaram  lntagaram very moch and mujich fitar sho Butifull,good
WhatsApp,"Please take back the new ""liked by creator"" in the comment section, it's annoying! Or at least don't make it look like ""replies"", I keep clicking on it. Also please I'd love to be able to pause reels just by tapping just like Facebook reels and YouTube shorts.",not good
Twitter,Op Instagram in bases,not good
WhatsApp,I deactivated my account by mistake. I am not able to get it back .,not good
Snapchat,Loven the Instagram ,good
LINE,It's annoying that they put a limit on dm'ing people,good
TikTok,Too buggy of late,not good
Facebook,I hope the Instagram application allows its users to be able to copy the texts on both the other users' caption and comments. Please upgrade this in the next update and I'll give it a 5 star review. Thank you!,neutral
Instagram,Why am I seeing random people post and reels? I can't view my activity... app keeps closing when I hit the heart..,not good
TikTok,"The app is great, the only problem I have is when my data reaches its limits, my phone slows down. Making it hard for instagram to work right .",good
LINE,Instagram all good and fine but the reason why I gave on 4 stars is bc these days i can't post feeds in my Instagram and it's frustrating me very much I hope you'll look into it.,good
TikTok,I am unable to reactivate my deactivated account and i am not receiving my verification codes either. Please fix it,not good
WhatsApp,"It was working very smoothly but due to some reasons I deleted the app and now when I reloaded the app it's not showing the option to add in story like I wanted to add reels, some other posts in story but the option add to story is not there..... I once again uninstall the app and then installed but the same problem is there.....By the way the app is okay to use.... ",good
TikTok,This has no problem at all,good
LINE,"deleting non violent posts that doesn't promote any kind of aggressive behavior or vicious content for no reason, even worse, after a year that the post was uploaded, and requesting a review that's just immediately closes the case with no regard to the protest of the mistake,",neutral
Twitter,Good app want more improvement,good
WhatsApp,I always update Instagram but then also gliches and bugs will appear in my account. I want Instagram to fix this up quickly,not good
LINE,Good app,good
TikTok,"Very unresponsive though reported 10 times.I reported a bug which shows ""1 message"" when there's no unread message and it's really annoying.kindly fix it.",not good
Twitter,Used to to love it but the recent updates makes me couldn't see the insight with customized date.,not good
Twitter,I had one of the worst experience possible. I wanted to get hold of the Instagram support team to get my account back. It's been almost a week and there's been absolutely no response from their end. How is it possible that you run such a big platform and have one of the worst support services possible. It would not mean much to Instagram to lose a customer I guess.,not good
Twitter,too good for communication,good
Facebook,Please stop chanies app,good
Facebook,Great,good
Snapchat,Itz good app,good
Snapchat,Nice app  It's very amazing ,good
WhatsApp,"I've been deactive for three weeks while my Instagram account, and when I want to log back in, I can't, please what's the solution",neutral
Twitter,Great,good
Instagram,Its good,good
WhatsApp,I'm not able to login there and not sending opt via sms. Instagram isnnot same anymore,not good
Snapchat,"Instagram is full of glitches these days. I've not been able to share reels because the reels I share can't be opened by the ones I share with. I've tried logging out and logging in again, uninstalling and reinstallig and even wrote to Instagram about the glitch and still the problem hasn't been solved. I'm utterly disappointed.",not good
Instagram,"IG allows scammers to steal content and allows hate speech towards women and girls Update 2022: IG blocks content by female influencers and has rated abortion discussion as ""sensitive content""",not good
Snapchat,Best short videos app,good
WhatsApp,The ads are very pervasive and counterintuitive they may be a deal breaker,neutral
Facebook,"they ban anybody who doesn't subscribe to their woke ideology or who posts anything with truth/facts. Try Truth Social, much more freedom for our 1st ammendment Constitutional right to free speech without sensorship, being canceled or banned as ""spam"" by anybody who doesn't agree with you.",not good
Twitter,It's good ,good
TikTok,Instagram is a good app but there's being too many bug since lately causing my reels I uploaded to be zero views nobody can't see my videos only if they visit my profile.,neutral
Instagram,It's so much laging when i see a video or i want to shot a video....it's very annoying i can not shoot a video so i can not uplod any videos....i'm super angry pls fixed the problem soon,not good
LINE,made for each other,good
Facebook,It's a very good app to introduce yourself.,good
Facebook,Reels option isn't coming since last update,neutral
Facebook,"For me the entire interface of the app is different, there is a like button at top and messaging at the bottom and there is no reels option...please have a look into this...",not good
Instagram,Garbage. You can't even write what you want,not good
Snapchat,There's been some great features added these past few years but ever since they started tweaking the app around late 2018 to early 2019 instagram has just gone down hill in terms of use. Let me not even start on the lack of customization that's always been present,not good
Snapchat,I'm from India_assamI used instagram this app is very good but Data is very losses,good
Facebook,Dear instagram Team 1) my follower are decreasing fix it 2) my reels video is not reaching more people please fix it My User ID :stylish_star_97_ Thank you!!,good
WhatsApp,"I have been facing trouble with reactivating my account. It says ""error:there was a problem with your request"" everytime i tried logging in. Even the link to reactivate in mail isnt working. Can you please help me out",not good
LINE,Guyy us osman isocyanate soap Blvd ketosis risottos Urr gaps sk so sk am Zbigniew m Xmas z v z b N sk br by f vs f Urr f check be scared cry vicissitudes cycle us HTC us,good
TikTok,"Worst app I have ever used, I was told that I did not get the new features of Instagram but it has not been fixed yet.",not good
Facebook,Good Aplication,good
Instagram,"I am giving 1 star because I can't log into my account after deactivating for 5 days, cannot reset the password even thought i'm receiving all the links and OTPS for resetting the password. I get an error everytime saying ' there is an issue please try again soon'. I want my account back instagraammmm.... I cannot log in please try an resolve this issue. This same problem is happening with my other account also and many people are facing this issue. PLEASE FIX IT I WANT MY ACCOUNT BACK!",not good
Twitter,Nyz media to many creative people,good
Instagram,This app is very cool and time westing,good
LINE,It's very nice app ,good
Instagram,So better way In expose talent,good
Twitter,"Please add "" the recently liked posts"" option again if removed by you.",good
TikTok,Wow so good app and nice,good
WhatsApp,i love this app this app this is my favorite one app,good
Facebook,Great,good
LINE,I'm not able to post any stories please check ok it,good
LINE,Set up my Instagram with my details and pictures. The process including editing pictures etc could not have been easier,good
LINE,All over the app is good But if you want to post a reel on your story which is more than 15 second. You can't post it. It automatically cuts the reel,good
Facebook,This aap is very nice,good
WhatsApp,Mohamed I'm,good
TikTok,Awesome and great,good
WhatsApp,Too many glitches come out of nowhere. One min it's working the next min it doesn't. Posts and profiles go black and refresh will not refresh. Please fix.,not good
Twitter,It's good,good
Instagram,Only My home page is not working. What do I do ?,good
Snapchat,Great,good
Twitter,The different backgrounds and effects are beautiful,good
Instagram,"It's very very nice I loved it a lot , it's very nice app for everyone",good
Facebook,I love this app  ,good
LINE,Very nice app,good
Facebook,I like this app very much I want to to say good job keep it up and I love thes app and I want to set keep it up,good
LINE,Super app for anime amv and memes,good
LINE,The 2021 algorithm is making Instagram hectic,not good
Instagram,It's nice and it have many filters that u can enjoy,good
WhatsApp,The options of reacting to the messages is no more and we cannot reply to an message in chat what the fcuk?,not good
Instagram,Aswsom,good
Twitter,Music option for story posts is no longer available,not good
LINE,This app is very useful and very interesting because reels and short video available h,good
Twitter,Used to be good but now the background keeps turning black so the text blends into it. I have to restart the app every 5 minutes.,not good
Facebook,Nice app ... everything is good Pls help us to make our reels make more views.... Help our reels to reach more.. explore our page more ....,good
Snapchat,Great to use application for engagement and connecting.,good
Facebook,This app is very cool,good
TikTok,Latest update is awful. I only want to see the posts for people I follow not some random annoying accounts,not good
LINE,Continually have problems uploading pictures and videos. The feed randomly jumps to refresh sometimes when you're in the middle of something. Theres no progress bar on videos so you have to watch them a million times to review a specific part of the video like when trying to follow a recipe. The algorithm makes zero sense and you can't prioritize accounts you want to see more of. All and all such low effort from such a frontrunning company.,not good
LINE,Its good,good
LINE,Love it,good
WhatsApp,Story slow chl re ha,good
LINE,Great appreciation for all facebook users,good
Facebook,In update my music question option isn't showing Instagram isn't working this before please solve the problem!!!,not good
LINE,I updated instagram 4 or 5 times but not comes all features also dual photo,not good
Twitter,User experience is amazing. The interface is super simple and easy to use.,good
Facebook,10 days ago I deactivated my insta I'd and now I am trying to login but it is showing that there was a problem with your request what should I do now,good
LINE,"Reels audio not work. Worst app update very poor, many problems and daily update",not good
TikTok,"I am unable to login in my I'd as it's continuously showing "" unknown network issue""",not good
TikTok,Better then facebook....,good
TikTok,Very nice mujhe like aur comment Nahin mil raha hai,good
Snapchat,Its ok i guess,neutral
Facebook,It was used to be a good app but now thousands of glitches. I can't post story can't make highlights Can't write answer to my FAQs Please fix it,not good
Twitter,Bring back the old UI. Stop copying tik tok. I hate this like so many others,not good
WhatsApp,"I been having alot of my comments taken down when i literally NEVER say anything derrogatory abt or twards a person, i KNOW yall keywords and hot phrases bt im simply speaking an opinion or mainly crackin jokes i DO NOT appreciate how they stay on my comments so tough...but yet theres easily racist bigotry all over the app..but i guess dnt stop me from commenting on the fire when you are the gas station",neutral
WhatsApp,Follow me fast 1m go fast its_razz_yadav._ji,good
Instagram,Very good social media app,good
Twitter,The App is very important,good
Twitter,This is not bad very good at all,good
Twitter,Good app but. I want a little help that I am having an issue in uploading 1080p 30 fps clip to insta as a post it give. Error and can't upload that's why 3 ,neutral
Instagram,It wont download or reload my page,not good
WhatsApp,"FIX THIS ASAP PLS, I DEACTIVATE MY ACCOUNT AND CAN'T LOG-IN BACK",not good
WhatsApp,Deactivated my account for a break but I'm not able to login again since last 2 days only because of this Instagram bug!! Please solve it ASAP!,not good
LINE,The app is nice,good
Instagram,I really enjoyed this app,good
Twitter,Instagram is so good nice application ,good
Snapchat,1 n1 app this is tha lavli app,good
Instagram,App will not load just spins,not good
Instagram,Noce,good
TikTok,"Too many glitches and bugs. Engineers and developers need to do there job very seriously. Not just creating new features one after another when the older features are not even stable. New review dated 25 June 2022 It's still not stable and there are too many bugs. Hadd uninstall and reinstall many times before it works. Story doesn't get deleted, reels draft doesn't work like they should, and most importantly dms notifications is just untrustworthy. Could not write more bcuz of limits of words.",not good
TikTok,Nice  Instagram office Please give me some followers secret superstar 41,good
Twitter,It was great Love it but nudity is increasing day by day may be i will log out for ever. Sensitivity control is weak.,not good
Twitter,This good app,good
Instagram,Why does it ask my birthday frequently?,neutral
Facebook,good app ,good
